plan_id,user_id,subscription_date,expiration_date
239,239,2020-01-27,2021-01-26
240,240,2020-10-30,2021-10-30
241,241,2020-11-06,2021-11-06
242,242,2020-08-23,2021-08-23
243,243,2020-09-19,2021-09-19
244,244,2020-11-28,2021-11-28
245,245,2020-08-13,2021-08-13
246,246,2020-12-01,2021-12-01
247,247,2020-08-24,2021-08-24
248,248,2020-08-10,2021-08-10
249,249,2020-11-25,2021-11-25
250,250,2020-11-27,2021-11-27
251,251,2020-12-30,2021-12-30
252,252,2020-06-12,2021-06-12
253,253,2020-09-20,2021-09-20
254,254,2020-12-29,2021-12-29
255,255,2020-10-31,2021-10-31
256,256,2020-09-15,2021-09-15
257,257,2020-12-24,2021-12-24
258,258,2020-08-17,2021-08-17
259,259,2020-10-19,2021-10-19
260,260,2020-10-16,2021-10-16
261,261,2020-06-30,2021-06-30
262,262,2020-10-12,2021-10-12
263,263,2020-11-11,2021-11-11
264,264,2020-09-23,2021-09-23
265,265,2020-10-17,2021-10-17
266,266,2020-10-29,2021-10-29
267,267,2020-12-05,2021-12-05
268,268,2020-07-09,2021-07-09
269,269,2020-10-22,2021-10-22
270,270,2020-11-03,2021-11-03
271,271,2020-07-30,2021-07-30
272,272,2020-08-20,2021-08-20
273,273,2020-01-06,2021-01-05
274,274,2020-05-13,2021-05-13
275,275,2020-10-30,2021-10-30
276,276,2020-11-16,2021-11-16
277,277,2020-04-27,2021-04-27
278,278,2020-11-22,2021-11-22
279,279,2020-05-17,2021-05-17
280,280,2020-02-29,2021-02-28
281,281,2020-10-13,2021-10-13
282,282,2020-12-04,2021-12-04
283,283,2020-11-30,2021-11-30
284,284,2020-08-06,2021-08-06
285,285,2020-10-16,2021-10-16
286,286,2020-10-31,2021-10-31
287,287,2020-08-08,2021-08-08
288,288,2020-03-16,2021-03-16
289,289,2020-09-20,2021-09-20
290,290,2020-11-28,2021-11-28
291,291,2020-09-23,2021-09-23
292,292,2020-11-22,2021-11-22
293,293,2020-09-15,2021-09-15
294,294,2020-11-16,2021-11-16
295,295,2020-09-24,2021-09-24
296,296,2020-10-10,2021-10-10
297,297,2020-10-17,2021-10-17
298,298,2020-11-16,2021-11-16
299,299,2020-10-27,2021-10-27
300,300,2020-09-07,2021-09-07
301,301,2020-01-15,2021-01-14
302,302,2020-10-28,2021-10-28
303,303,2020-07-29,2021-07-29
304,304,2020-06-06,2021-06-06
305,305,2020-10-05,2021-10-05
306,306,2020-08-20,2021-08-20
307,307,2020-11-11,2021-11-11
308,308,2020-08-28,2021-08-28
309,309,2020-09-23,2021-09-23
310,310,2020-03-05,2021-03-05
311,311,2020-11-28,2021-11-28
312,312,2020-11-16,2021-11-16
313,313,2020-12-27,2021-12-27
314,314,2020-11-26,2021-11-26
315,315,2020-06-11,2021-06-11
316,316,2020-05-05,2021-05-05
317,317,2020-08-10,2021-08-10
318,318,2020-06-13,2021-06-13
319,319,2020-08-23,2021-08-23
320,320,2020-12-07,2021-12-07
321,321,2020-04-14,2021-04-14
322,322,2020-12-01,2021-12-01
323,323,2020-09-11,2021-09-11
324,324,2020-08-19,2021-08-19
325,325,2020-08-17,2021-08-17
326,326,2020-11-16,2021-11-16
327,327,2020-06-20,2021-06-20
328,328,2020-04-20,2021-04-20
329,329,2020-10-18,2021-10-18
330,330,2020-01-28,2021-01-27
331,331,2020-11-09,2021-11-09
332,332,2020-08-03,2021-08-03
333,333,2020-09-02,2021-09-02
334,334,2020-09-07,2021-09-07
335,335,2020-12-14,2021-12-14
336,336,2020-11-22,2021-11-22
337,337,2020-12-26,2021-12-26
338,338,2020-10-01,2021-10-01
339,339,2020-08-21,2021-08-21
340,340,2020-10-12,2021-10-12
341,341,2020-10-13,2021-10-13
342,342,2020-12-10,2021-12-10
343,343,2020-11-23,2021-11-23
344,344,2020-12-01,2021-12-01
345,345,2020-09-22,2021-09-22
346,346,2020-07-02,2021-07-02
347,347,2020-10-30,2021-10-30
348,348,2020-12-07,2021-12-07
349,349,2020-10-13,2021-10-13
350,350,2020-09-21,2021-09-21
351,351,2020-12-15,2021-12-15
352,352,2020-08-23,2021-08-23
353,353,2020-08-11,2021-08-11
354,354,2020-08-22,2021-08-22
355,355,2020-12-30,2021-12-30
356,356,2020-09-22,2021-09-22
357,357,2020-03-08,2021-03-08
358,358,2020-10-29,2021-10-29
359,359,2020-09-19,2021-09-19
360,360,2020-12-10,2021-12-10
361,361,2020-09-18,2021-09-18
362,362,2020-10-17,2021-10-17
363,363,2020-09-26,2021-09-26
364,364,2020-09-03,2021-09-03
365,365,2020-11-18,2021-11-18
366,366,2020-09-12,2021-09-12
367,367,2020-12-16,2021-12-16
368,368,2020-11-06,2021-11-06
369,369,2020-05-17,2021-05-17
370,370,2020-05-01,2021-05-01
371,371,2020-09-22,2021-09-22
372,372,2020-09-20,2021-09-20
373,373,2020-10-23,2021-10-23
374,374,2020-02-21,2021-02-20
375,375,2020-10-18,2021-10-18
376,376,2020-08-25,2021-08-25
377,377,2020-12-20,2021-12-20
378,378,2020-10-20,2021-10-20
379,379,2020-08-05,2021-08-05
380,380,2020-11-10,2021-11-10
381,381,2020-08-04,2021-08-04
382,382,2020-08-08,2021-08-08
383,383,2020-12-07,2021-12-07
384,384,2020-02-18,2021-02-17
385,385,2020-11-25,2021-11-25
386,386,2020-08-28,2021-08-28
387,387,2020-07-28,2021-07-28
388,388,2020-11-01,2021-11-01
389,389,2020-02-20,2021-02-19
390,390,2020-04-30,2021-04-30
391,391,2020-08-15,2021-08-15
392,392,2020-10-19,2021-10-19
393,393,2020-08-31,2021-08-31
394,394,2020-09-12,2021-09-12
395,395,2020-08-24,2021-08-24
396,396,2020-07-31,2021-07-31
397,397,2020-06-07,2021-06-07
398,398,2020-08-06,2021-08-06
399,399,2020-12-05,2021-12-05
400,400,2020-05-07,2021-05-07
401,401,2020-08-02,2021-08-02
402,402,2020-09-16,2021-09-16
403,403,2020-12-14,2021-12-14
404,404,2020-12-22,2021-12-22
405,405,2020-10-10,2021-10-10
406,406,2020-10-17,2021-10-17
407,407,2020-03-10,2021-03-10
408,408,2020-08-13,2021-08-13
409,409,2020-05-14,2021-05-14
410,410,2020-11-11,2021-11-11
411,411,2020-11-26,2021-11-26
412,412,2020-11-20,2021-11-20
413,413,2020-04-13,2021-04-13
414,414,2020-08-10,2021-08-10
415,415,2020-12-27,2021-12-27
416,416,2020-12-24,2021-12-24
417,417,2020-08-14,2021-08-14
418,418,2020-12-14,2021-12-14
419,419,2020-09-04,2021-09-04
420,420,2020-08-02,2021-08-02
421,421,2020-09-04,2021-09-04
422,422,2020-11-10,2021-11-10
423,423,2020-12-10,2021-12-10
424,424,2020-12-30,2021-12-30
425,425,2020-11-02,2021-11-02
426,426,2020-08-14,2021-08-14
427,427,2020-09-27,2021-09-27
428,428,2020-12-15,2021-12-15
429,429,2020-08-29,2021-08-29
430,430,2020-12-15,2021-12-15
431,431,2020-08-05,2021-08-05
432,432,2020-09-02,2021-09-02
433,433,2020-11-29,2021-11-29
434,434,2020-10-22,2021-10-22
435,435,2020-12-08,2021-12-08
436,436,2020-09-24,2021-09-24
437,437,2020-09-02,2021-09-02
438,438,2020-08-18,2021-08-18
439,439,2020-11-03,2021-11-03
440,440,2020-09-07,2021-09-07
441,441,2020-12-21,2021-12-21
442,442,2020-09-29,2021-09-29
443,443,2020-08-02,2021-08-02
444,444,2020-12-13,2021-12-13
445,445,2020-09-08,2021-09-08
446,446,2020-09-08,2021-09-08
447,447,2020-09-27,2021-09-27
448,448,2020-10-19,2021-10-19
449,449,2020-09-01,2021-09-01
450,450,2020-12-31,2021-12-31
451,451,2020-04-04,2021-04-04
452,452,2020-10-07,2021-10-07
453,453,2020-10-03,2021-10-03
454,454,2020-08-13,2021-08-13
455,455,2020-05-26,2021-05-26
456,456,2020-12-28,2021-12-28
457,457,2020-10-31,2021-10-31
458,458,2020-10-12,2021-10-12
459,459,2020-02-24,2021-02-23
460,460,2020-12-06,2021-12-06
461,461,2020-11-08,2021-11-08
462,462,2020-09-11,2021-09-11
463,463,2020-08-14,2021-08-14
464,464,2020-06-08,2021-06-08
465,465,2020-09-11,2021-09-11
466,466,2020-11-20,2021-11-20
467,467,2020-02-11,2021-02-10
468,468,2020-09-23,2021-09-23
469,469,2020-07-19,2021-07-19
470,470,2020-11-11,2021-11-11
471,471,2020-01-08,2021-01-07
472,472,2020-10-18,2021-10-18
473,473,2020-12-24,2021-12-24
474,474,2020-09-08,2021-09-08
475,475,2020-12-02,2021-12-02
476,476,2020-12-29,2021-12-29
477,477,2020-10-21,2021-10-21
478,478,2020-09-14,2021-09-14
479,479,2020-08-03,2021-08-03
480,480,2020-06-01,2021-06-01
481,481,2020-01-14,2021-01-13
482,482,2020-09-23,2021-09-23
483,483,2020-09-27,2021-09-27
484,484,2020-02-28,2021-02-27
485,485,2020-11-23,2021-11-23
486,486,2020-05-02,2021-05-02
487,487,2020-12-04,2021-12-04
488,488,2020-12-21,2021-12-21
489,489,2020-08-22,2021-08-22
490,490,2020-12-03,2021-12-03
491,491,2020-10-05,2021-10-05
492,492,2020-12-17,2021-12-17
493,493,2020-08-30,2021-08-30
494,494,2020-08-06,2021-08-06
495,495,2020-12-26,2021-12-26
496,496,2020-12-15,2021-12-15
497,497,2020-10-12,2021-10-12
498,498,2020-08-13,2021-08-13
499,499,2020-10-29,2021-10-29
500,500,2020-09-22,2021-09-22
501,501,2020-06-28,2021-06-28
502,502,2020-10-25,2021-10-25
503,503,2020-09-13,2021-09-13
504,504,2020-11-29,2021-11-29
505,505,2020-08-21,2021-08-21
506,506,2020-08-16,2021-08-16
507,507,2020-09-19,2021-09-19
508,508,2020-08-07,2021-08-07
509,509,2020-12-13,2021-12-13
510,510,2020-10-11,2021-10-11
511,511,2020-10-10,2021-10-10
512,512,2020-12-02,2021-12-02
513,513,2020-12-29,2021-12-29
514,514,2020-10-20,2021-10-20
515,515,2020-08-15,2021-08-15
516,516,2020-08-21,2021-08-21
517,517,2020-10-23,2021-10-23
518,518,2020-11-02,2021-11-02
519,519,2020-12-16,2021-12-16
520,520,2020-10-09,2021-10-09
521,521,2020-09-25,2021-09-25
522,522,2020-09-29,2021-09-29
523,523,2020-05-07,2021-05-07
524,524,2020-10-25,2021-10-25
525,525,2020-03-04,2021-03-04
526,526,2020-11-02,2021-11-02
527,527,2020-09-25,2021-09-25
528,528,2020-11-13,2021-11-13
529,529,2020-02-15,2021-02-14
530,530,2020-08-22,2021-08-22
531,531,2020-10-08,2021-10-08
532,532,2020-12-11,2021-12-11
533,533,2020-12-28,2021-12-28
534,534,2020-12-27,2021-12-27
535,535,2020-12-02,2021-12-02
536,536,2020-08-12,2021-08-12
537,537,2020-11-06,2021-11-06
538,538,2020-11-16,2021-11-16
539,539,2020-10-16,2021-10-16
540,540,2020-10-31,2021-10-31
541,541,2020-05-13,2021-05-13
542,542,2020-09-25,2021-09-25
543,543,2020-10-01,2021-10-01
544,544,2020-08-19,2021-08-19
545,545,2020-08-03,2021-08-03
546,546,2020-11-28,2021-11-28
547,547,2020-09-25,2021-09-25
548,548,2020-05-14,2021-05-14
549,549,2020-08-24,2021-08-24
550,550,2020-11-19,2021-11-19
551,551,2020-09-07,2021-09-07
552,552,2020-08-23,2021-08-23
553,553,2020-06-03,2021-06-03
554,554,2020-12-09,2021-12-09
555,555,2020-02-13,2021-02-12
556,556,2020-05-01,2021-05-01
557,557,2020-08-27,2021-08-27
558,558,2020-09-15,2021-09-15
559,559,2020-11-11,2021-11-11
560,560,2020-11-28,2021-11-28
561,561,2020-10-23,2021-10-23
562,562,2020-06-13,2021-06-13
563,563,2020-05-19,2021-05-19
564,564,2020-10-23,2021-10-23
565,565,2020-11-18,2021-11-18
566,566,2020-09-23,2021-09-23
567,567,2020-06-02,2021-06-02
568,568,2020-12-30,2021-12-30
569,569,2020-08-21,2021-08-21
570,570,2020-12-15,2021-12-15
571,571,2020-07-09,2021-07-09
572,572,2020-11-01,2021-11-01
573,573,2020-03-23,2021-03-23
574,574,2020-08-09,2021-08-09
575,575,2020-12-15,2021-12-15
576,576,2020-10-17,2021-10-17
577,577,2020-06-21,2021-06-21
578,578,2020-06-17,2021-06-17
579,579,2020-11-16,2021-11-16
580,580,2020-09-25,2021-09-25
581,581,2020-10-15,2021-10-15
582,582,2020-08-11,2021-08-11
583,583,2020-09-19,2021-09-19
584,584,2020-12-27,2021-12-27
585,585,2020-06-08,2021-06-08
586,586,2020-10-04,2021-10-04
587,587,2020-12-03,2021-12-03
588,588,2020-10-18,2021-10-18
589,589,2020-11-26,2021-11-26
590,590,2020-08-06,2021-08-06
591,591,2020-08-16,2021-08-16
592,592,2020-08-01,2021-08-01
593,593,2020-05-23,2021-05-23
594,594,2020-09-12,2021-09-12
595,595,2020-10-09,2021-10-09
596,596,2020-09-09,2021-09-09
597,597,2020-11-21,2021-11-21
598,598,2020-06-28,2021-06-28
599,599,2020-12-08,2021-12-08
600,600,2020-12-27,2021-12-27
601,601,2020-08-03,2021-08-03
602,602,2020-02-04,2021-02-03
603,603,2020-08-03,2021-08-03
604,604,2020-02-26,2021-02-25
605,605,2020-09-09,2021-09-09
606,606,2020-12-08,2021-12-08
607,607,2020-08-17,2021-08-17
608,608,2020-05-04,2021-05-04
609,609,2020-09-16,2021-09-16
610,610,2020-08-24,2021-08-24
611,611,2020-09-05,2021-09-05
612,612,2020-09-12,2021-09-12
613,613,2020-10-05,2021-10-05
614,614,2020-10-29,2021-10-29
615,615,2020-11-30,2021-11-30
616,616,2020-11-27,2021-11-27
617,617,2020-11-04,2021-11-04
618,618,2020-12-01,2021-12-01
619,619,2020-08-04,2021-08-04
620,620,2020-07-27,2021-07-27
621,621,2020-10-20,2021-10-20
622,622,2020-07-17,2021-07-17
623,623,2020-07-04,2021-07-04
624,624,2020-12-02,2021-12-02
625,625,2020-09-22,2021-09-22
626,626,2020-10-29,2021-10-29
627,627,2020-11-13,2021-11-13
628,628,2020-11-18,2021-11-18
629,629,2020-01-07,2021-01-06
630,630,2020-11-11,2021-11-11
631,631,2020-10-06,2021-10-06
632,632,2020-10-17,2021-10-17
633,633,2020-03-09,2021-03-09
634,634,2020-09-24,2021-09-24
635,635,2020-10-14,2021-10-14
636,636,2020-11-14,2021-11-14
637,637,2020-09-30,2021-09-30
638,638,2020-09-10,2021-09-10
639,639,2020-08-08,2021-08-08
640,640,2020-12-09,2021-12-09
641,641,2020-12-30,2021-12-30
642,642,2020-11-22,2021-11-22
643,643,2020-08-30,2021-08-30
644,644,2020-03-02,2021-03-02
645,645,2020-10-21,2021-10-21
646,646,2020-09-08,2021-09-08
647,647,2020-12-27,2021-12-27
648,648,2020-04-18,2021-04-18
649,649,2020-08-12,2021-08-12
650,650,2020-11-19,2021-11-19
651,651,2020-03-15,2021-03-15
652,652,2020-11-21,2021-11-21
653,653,2020-02-13,2021-02-12
654,654,2020-08-17,2021-08-17
655,655,2020-09-14,2021-09-14
656,656,2020-09-02,2021-09-02
657,657,2020-09-15,2021-09-15
658,658,2020-06-28,2021-06-28
659,659,2020-09-20,2021-09-20
660,660,2020-05-25,2021-05-25
661,661,2020-08-16,2021-08-16
662,662,2020-11-03,2021-11-03
663,663,2020-09-09,2021-09-09
664,664,2020-10-12,2021-10-12
665,665,2020-06-20,2021-06-20
666,666,2020-11-05,2021-11-05
667,667,2020-12-15,2021-12-15
668,668,2020-02-14,2021-02-13
669,669,2020-09-11,2021-09-11
670,670,2020-08-30,2021-08-30
671,671,2020-08-06,2021-08-06
672,672,2020-12-31,2021-12-31
673,673,2020-01-05,2021-01-04
674,674,2020-08-14,2021-08-14
675,675,2020-03-06,2021-03-06
676,676,2020-12-28,2021-12-28
677,677,2020-12-27,2021-12-27
678,678,2020-08-23,2021-08-23
679,679,2020-10-26,2021-10-26
680,680,2020-08-31,2021-08-31
681,681,2020-10-06,2021-10-06
682,682,2020-12-16,2021-12-16
683,683,2020-10-19,2021-10-19
684,684,2020-12-01,2021-12-01
685,685,2020-11-03,2021-11-03
686,686,2020-09-15,2021-09-15
687,687,2020-09-16,2021-09-16
688,688,2020-10-25,2021-10-25
689,689,2020-07-24,2021-07-24
690,690,2020-04-15,2021-04-15
691,691,2020-02-03,2021-02-02
692,692,2020-02-20,2021-02-19
693,693,2020-12-15,2021-12-15
694,694,2020-08-19,2021-08-19
695,695,2020-08-25,2021-08-25
696,696,2020-09-09,2021-09-09
697,697,2020-11-28,2021-11-28
698,698,2020-11-17,2021-11-17
699,699,2020-10-10,2021-10-10
700,700,2020-11-06,2021-11-06
701,701,2020-08-05,2021-08-05
702,702,2020-09-03,2021-09-03
703,703,2020-01-07,2021-01-06
704,704,2020-12-13,2021-12-13
705,705,2020-09-20,2021-09-20
706,706,2020-09-13,2021-09-13
707,707,2020-10-23,2021-10-23
708,708,2020-10-29,2021-10-29
709,709,2020-08-04,2021-08-04
710,710,2020-09-28,2021-09-28
711,711,2020-09-02,2021-09-02
712,712,2020-08-29,2021-08-29
713,713,2020-03-30,2021-03-30
714,714,2020-06-12,2021-06-12
715,715,2020-08-15,2021-08-15
716,716,2020-12-02,2021-12-02
717,717,2020-10-23,2021-10-23
718,718,2020-11-22,2021-11-22
719,719,2020-11-26,2021-11-26
720,720,2020-10-08,2021-10-08
721,721,2020-05-06,2021-05-06
722,722,2020-10-13,2021-10-13
723,723,2020-04-04,2021-04-04
724,724,2020-10-02,2021-10-02
725,725,2020-12-09,2021-12-09
726,726,2020-07-23,2021-07-23
727,727,2020-08-14,2021-08-14
728,728,2020-11-21,2021-11-21
729,729,2020-12-26,2021-12-26
730,730,2020-12-24,2021-12-24
731,731,2020-09-10,2021-09-10
732,732,2020-08-27,2021-08-27
733,733,2020-02-05,2021-02-04
734,734,2020-05-28,2021-05-28
735,735,2020-11-27,2021-11-27
736,736,2020-11-18,2021-11-18
737,737,2020-11-28,2021-11-28
738,738,2020-10-24,2021-10-24
739,739,2020-10-23,2021-10-23
740,740,2020-11-21,2021-11-21
741,741,2020-02-05,2021-02-04
742,742,2020-10-01,2021-10-01
743,743,2020-10-29,2021-10-29
744,744,2020-10-05,2021-10-05
745,745,2020-10-22,2021-10-22
746,746,2020-12-02,2021-12-02
747,747,2020-11-07,2021-11-07
748,748,2020-08-01,2021-08-01
749,749,2020-02-19,2021-02-18
750,750,2020-06-29,2021-06-29
751,751,2020-10-05,2021-10-05
752,752,2020-09-07,2021-09-07
753,753,2020-09-04,2021-09-04
754,754,2020-08-02,2021-08-02
755,755,2020-08-30,2021-08-30
756,756,2020-08-04,2021-08-04
757,757,2020-03-06,2021-03-06
758,758,2020-04-06,2021-04-06
759,759,2020-12-24,2021-12-24
760,760,2020-11-29,2021-11-29
761,761,2020-11-12,2021-11-12
762,762,2020-09-22,2021-09-22
763,763,2020-08-05,2021-08-05
764,764,2020-08-27,2021-08-27
765,765,2020-11-15,2021-11-15
766,766,2020-12-13,2021-12-13
767,767,2020-12-14,2021-12-14
768,768,2020-11-15,2021-11-15
769,769,2020-12-14,2021-12-14
770,770,2020-08-26,2021-08-26
771,771,2020-08-28,2021-08-28
772,772,2020-08-05,2021-08-05
773,773,2020-10-09,2021-10-09
774,774,2020-09-27,2021-09-27
775,775,2020-01-11,2021-01-10
